lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n06986.sg01.s99.u02	Quinct.	correptio syllabae	 Correptio syllabae 	 Abbreviatura da syllaba 	
usageExample:n06993.sg01.s99.u01	Virg.	corripere corpus a somnis	 Corripere corpus a somnis 	 Acordar , levantar - se da cama precipitadamente . 	
usageExample:n06993.sg01.s99.u02	Virg.	corripere corpus a stractis	 Corripere corpus a stractis 	 Acordar , levantar - se da cama precipitadamente 	
usageExample:n06993.sg01.s99.u03	Hor.	corripere gradum	 Corripere gradum 	 Aligeirar o passo 	
usageExample:n06993.sg01.s99.u04	Cels.	corripi morbo	 Corripi morbo 	 Adoecer subitamente 	
usageExample:n07011.sg01.s99.u01		corrumpere fontes	 Corrumpere fontes 	 Envenenar as fontes 	
usageExample:n07011.sg01.s99.u02	Cic.	corrumpere literas	 Corrumpere literas 	 Falsificar as cartas 	
usageExample:n07022.sg01.s99.u01	Scrib. Larg.	cortex malorum	 Cortex malorum 	 Casca dos pomos 	
usageExample:n07022.sg01.s99.u02	Vitr.	cortex oui	 Cortex ovi 	 Casca do ovo 	
usageExample:n07022.sg01.s99.u03	Phaedr.	cortex testudinis	 Cortex testudinis 	 Casca de tartaruga 	
usageExample:n07027.sg01.s99.u01	Virg.	cortina phoebi	 Cortina Phoebi 	 Tripeça , ou meza de tres pés , onde se sentava a Sacerdotiza de Apollo para dar oraculos 	
usageExample:n07033.sg01.s99.u01	Virg.	coruscare mucronem	 Coruscare mucronem 	 Brandir , fazer brilhar huma espada nua 	
usageExample:n07060.sg01.s99.u01	Virg.	costae aheni	 Costae aheni 	 Lados do caldeirão 	
usageExample:n07060.sg01.s99.u02	Pers.	costae ratis lacerae	 Costae ratis lacerae 	 Costado da náo destroçada 	
usageExample:n07065.sg01.s99.u01	Ovid.	cothurnata dea	 Cothurnata Dea 	 Deosa altiva 	
usageExample:n07065.sg01.s99.u02	Ovid.	cothurnatus uates	 Cothurnatus vates 	 Poeta tragico 	
usageExample:n07065.sg01.s99.u03	Mart.	cothurnatus maro	 Cothurnatus Maro 	 Virgilio , que tem hum estilo grandiloquo 	
usageExample:n07089.sg01.s99.u01	Cic.	crapulam edormire	 Crapulam edormire 	 Cozer a borracheira . 	
usageExample:n07089.sg01.s99.u02	Cic.	crapulam exhalare	 Crapulam exhalare 	 Cozer a borracheira . 	
usageExample:n07089.sg01.s99.u03	Plin.	crapulam discutere	 Crapulam discutere 	 Cozer a borracheira . 	
usageExample:n07089.sg01.s99.u04	Plaut.	crapulam edormiscere	 Crapulam edormiscere 	 Cozer a borracheira . 	
usageExample:n07089.sg01.s99.u05	Val. Max.	crapulam excutere	 Crapulam excutere 	 Cozer a borracheira 	
usageExample:n07102.sg01.s99.u01	Cic.	in crastinum (sc. diem) differre	 In crastinum ( sc . diem ) differre 	 Differir para o dia de á manhã 	
usageExample:n07102.sg01.s99.u02	Stat.	aetas crastina	 Aetas crastina 	 Tempo futuro 	
usageExample:n07134.sg01.s99.u01	Virg.	in nouos soles gramina se credunt	 In novos soles gramina se credunt 	 As hervas rebentão , ou nascem na primavera 	
usageExample:n07134.sg01.s99.u02	Plaut.	credere se neptuno	 Credere se Neptuno 	 Embarcar - se 	
usageExample:n07146.sg01.s99.u01	Plaut.	creare aerumnas alicui	 Creare aerumnas alicui 	 Fazer alguem miseravel 	
usageExample:n07159.sg01.s99.u01	Hor.	crepare immunda dicta	 Crepare immunda dicta 	 Dizer palavras obscenas 	
usageExample:n07159.sg01.s99.u02	Lucr.	crepare genus antiquum	 Crepare genus antiquum 	 Blasonar de fidalgo 	
usageExample:n07166.sg01.s99.u01	Hor.	cressa nota	 Cressa nota 	 Sinal feliz , feito com greda 	
usageExample:n07170.sg01.s99.u01	Plin.	cretata ambitio	 Cretata ambitio 	 Ambição dos Candidatos , que esfregavão as togas com greda 	
usageExample:n07185.sg01.s99.u01	Virg.	serere crimina belli	 Serere crimina belli 	 Semear as causas da guerra 	
usageExample:n07198.sg01.s99.u01	Plin.	crines arborum	 Crines arborum 	 Folhas das arvores 	
usageExample:n07256.sg01.s99.u01	Ovid.	crudum uulnus	 Crudum vulnus 	 Ferida fresca , recebida de pouco 	
usageExample:n07256.sg01.s99.u02	Col.	crudum solum	 Crudum solum 	 Terra não lavrada 	
usageExample:n07256.sg01.s99.u03	Tac.	crudum seruitium	 Crudum servitium 	 Escravidão moderna , descostumada 	
usageExample:n07256.sg01.s99.u04	Stat.	crudum sunus	 Crudum sunus 	 Morte antes de tempo 	
usageExample:n07256.sg01.s99.u05	Virg.	cruda senectus	 Cruda senectus 	 Velhice vigorosa 	
usageExample:n07256.sg01.s99.u06	Cic.	crudus homo	 Crudus homo 	 Homem sujeito a indigestões 	
usageExample:n07269.sg01.s99.u01	Col.	crus arboris	 Crus arboris 	 Pé da arvore 	
usageExample:n07281.sg01.s99.u01	Cic.	aliquem in crucem agere	 Aliquem in crucem agere 	 Crucificar alguem . 	
usageExample:n07281.sg01.s99.u02	Cic.	aliquem in crucem tollere	 Aliquem in crucem tollere 	 Crucificar alguem . 	
usageExample:n07281.sg01.s99.u03	Cic.	aliquem cruce afficere	 Aliquem cruce afficere 	 Crucificar alguem . 	
usageExample:n07281.sg01.s99.u04	Cic.	aliquem cruci suffigere	 Aliquem cruci suffigere 	 Crucificar alguem . 	
usageExample:n07281.sg01.s99.u05	Curt.	aliquem in crucem affigere	 Aliquem in crucem affigere 	 Crucificar alguem . 	
usageExample:n07281.sg01.s99.u06	Plaut.	aliquem in crucem dare	 Aliquem in crucem dare 	 Crucificar alguem . 	
usageExample:n07281.sg01.s99.u07	Hor.	aliquem in cruce suffigere	 Aliquem in cruce suffigere 	 Crucificar alguem 	
usageExample:n07294.sg01.s99.u01	Suet.	decurio cubiculariorum	 Decurio cubiculariorum 	 Camereiro mór 	
usageExample:n07299.sg01.s99.u01	Val. Flac.	cubilia ferri	 Cubilia ferri 	 Minas de ferro 	
usageExample:n07299.sg01.s99.u02	Cic.	cubilia auaritiae	 Cubilia avaritiae 	 Origem de avareza 	
usageExample:n07352.sg01.s99.u01	Liv.	summum culmen hominis	 Summum culmen hominis 	 Cabeça do homem 	
usageExample:n07352.sg01.s99.u02	Ovid.	culmen fabae	 Culmen fabae 	 Palha , ou cana da fava 	
usageExample:n07353.sg01.s99.u01	Col.	culminia bacca	 Culminia bacca 	 Azeitona da dita oliveira 	
usageExample:n07355.sg01.s99.u01	Ter.	a culpa procul esse	 A culpa procul esse 	 Estar innocente , não ser culpado . 	
usageExample:n07355.sg01.s99.u02	Ovid.	a culpa abesse	 A culpa abesse 	 Estar innocente , não ser culpado . 	
usageExample:n07355.sg01.s99.u03	Cic.	a culpa abhorrere	 A culpa abhorrere 	 Estar innocente , não ser culpado . 	
usageExample:n07355.sg01.s99.u04	Quinct.	culpa uaccare	 culpa vaccare 	 Estar innocente , não ser culpado . 	
usageExample:n07355.sg01.s99.u05	Cic.	extra culpam esse	 extra culpam esse 	 Estar innocente , não ser culpado 	
usageExample:n07364.sg01.s99.u01	Hor.	sub cultro relinquere	 Sub cultro relinquere 	 Deixar em perigo 	
usageExample:n07364.sg01.s99.u02	Varr.	emere boues ad cultrum	 Emere boves ad cultrum 	 Comprar rezes para o talho 	
usageExample:n07390.sg01.s99.u01	Plin.	cunabula auium	 Cunabula avium 	 Ninhos das aves 	
usageExample:n07450.sg01.s99.u01	Plaut.	minutos curculiunculos fabulare	 Minutos curculiunculos fabulare 	 Não dizer cousa a proposito , dizer ridicularias 	
usageExample:n07455.sg01.s99.u01	Plaut.	curio agnus	 Curio agnus 	 Cordeiro magro , que não tem mais do que a pelle , e os ossos 	
usageExample:n07463.sg01.s99.u01	Virg.	curare corpus	 Curare corpus 	 Regalar - se , tratar - se bem . 	
usageExample:n07463.sg01.s99.u02	Hor.	curare pelliculam	 Curare pelliculam 	 Regalar - se , tratar - se bem . 	
usageExample:n07463.sg01.s99.u03	Plaut.	curare aetatem suam	 Curare aetatem suam 	 Regalar - se , tratar - se bem . 	
usageExample:n07463.sg01.s99.u04	Juv.	curare cutem	 Curare cutem 	 Regalar - se , tratar - se bem 	
usageExample:n07463.sg01.s99.u05	Plin.	curare uitem salce	 Curare vitem salce 	 Podar a parreira 	
usageExample:n07466.sg01.s99.u01	Virg.	currere aequor	 Currere aequor 	 Navegar 	
usageExample:n07478.sg01.s99.u01	Lucr.	dolia curta	 Dolia curta 	 Toneis quebrados , e incapazes de servir 	
usageExample:n07478.sg01.s99.u02	Prop.	equus curtus	 Equus curtus 	 Cavallo sem cauda 	
usageExample:n07498.sg01.s99.u01	Virg.	cingere custode abitum	 Cingere custode abitum 	 Pôr guardas , para que não se saia por parte alguma , tomar todas as sahidas 	
usageExample:n07498.sg01.s99.u02	Cic.	custos portae	 Custos portae 	 Porteiro . 	
usageExample:n07498.sg01.s99.u03	Virg.	custos ad limina	 Custos ad limina 	 Porteiro 	
usageExample:n07500.sg01.s99.u01	Plin.	cutis terrae	 Cutis terrae 	 Superficie da terra 	
usageExample:n07500.sg01.s99.u02	Pers.	ego te intus, & in cute noui	 Ego te intus , & in cute novi 	 Conheço - te a fundo ou perfeitamente 	
usageExample:n07591.sg01.s99.u01	Ulp.	damnas esto	 Damnas esto 	 Seja condemnado , ou obrigado 	
usageExample:n07644.sg01.s99.u01	Plaut.	deartuare opes	 Deartuare opes 	 Dissipar os bens 	
usageExample:n07768.sg01.s99.u01	Plin.	decoquere creditoribus	 Decoquere creditoribus 	 Fallir , çuebrar 	
usageExample:n07768.sg01.s99.u02	Sen.	decoquere bonae spei	 Decoquere bonae spei 	 Enganar , frustrar a boa esperança 	
usageExample:n07784.sg01.s99.u01	Stat.	uestes decrescunt pueris	 Vestes decrescunt pueris 	 Os vestidos fazem - se curtos ás crianças 	
usageExample:n07843.sg01.s99.u01	Cic.	dedere aures suas alicui	 Dedere aures suas alicui 	 Ouvir alguem attentamente . 	
usageExample:n07843.sg01.s99.u02	Plaut.	dedere in ditionem alicuius	 Dedere in ditionem alicujus 	 Ouvir alguem attentamente 	
usageExample:n07853.sg01.s99.u01	Virg.	deductum carmen	 Deductum carmen 	 Verso delicado 	
usageExample:n07853.sg01.s99.u02	Suet.	nasus ab imo deductior	 Nasus ab imo deductior 	 Nariz mais afilado para a ponta 	
usageExample:n07869.sg01.s99.u01	Virg.	defectus solis	 Defectus Solis 	 Eclipse do Sol 	
usageExample:n07908.sg01.s99.u01	Plaut.	deflocati senes	 Deflocati senes 	 Velhos calvos 	
usageExample:n07945.sg01.s99.u01	Cic.	defugere auctoritatem alicuius	 Defugere auctoritatem alicujus 	 Recusar obedecer a alguem 	
usageExample:n07951.sg01.s99.u01	Liv.	defungi poena	 Defungi poena 	 Ser castigado 	
usageExample:n07951.sg01.s99.u02	Liv.	defungi regis imperio	 Defungi Regis imperio 	 Satisfazer ás ordens do Rei 	
usageExample:n07974.sg01.s99.u01	Cic.	degustare aliquid speculae ex sermone alicuius	 Degustare aliquid speculae ex sermone alicujus 	 Conceber alguma esperança pelo que se ouvio a alguem 	
usageExample:n07974.sg01.s99.u02	Cic.	degustare aliquem	 Degustare aliquem 	 Sondar o merecimento ou intentos de alguem 	
usageExample:n08089.sg01.s99.u01	Cic.	alacritate deliquescere	 Alacritate deliquescere 	 Deixar - se transportar de huma desordenada alegria 	
usageExample:n08092.sg01.s99.u01	Plin.	deliquium solis	 Deliquium Solis 	 Eclipse do Sol 	
usageExample:n08150.sg01.s99.u01	Cic.	demigrare ex uita	 Demigrare ex vita 	 Morrer 	
usageExample:n08159.sg01.s99.u01	Virg.	dimittere puteum	 Dimittere puteum 	 Abrir hum paço 	
usageExample:n08159.sg01.s99.u02	Val. Flac.	dimittere robora ferro	 Dimittere robora ferro 	 Cortar carvalhos 	
usageExample:n08159.sg01.s99.u03	Cic.	dimittere animum	 Dimittere animum 	 Desanimar - se 	
usageExample:n08170.sg01.s99.u01	Cic.	demonstratiuum genus	 Demonstrativum genus 	 Genero demonstrativo , onde se louva ou vitupera 	
usageExample:n08239.sg01.s99.u01	Plaut.	dentire dentes	 Dentire dentes 	 Rangir ou bater os dentes por causa da fóme 	
usageExample:n08300.sg01.s99.u01	Plin.	deploratus a medicis	 Deploratus a Medicis 	 Desamparado dos Medicos 	
usageExample:n08393.sg01.s99.u01	Cic.	deriuatio fluminum	 Derivatio fluminum 	 Conducção das agoas dos rios 	
usageExample:n08393.sg01.s99.u02	Quinct.	deriuatio uerborum	 Derivatio verborum 	 Troca de palavras para pôr outras , de que se foge 	
usageExample:n08403.sg01.s99.u01	Plaut.	deruncinare aliquem lepide	 Deruncinare aliquem lepide 	 Enganar com galanteria alguem 	
usageExample:n08430.sg01.s99.u01	Virg.	desertor asiae	 Desertor Asiae 	 Desterrado da Asia , ou que entregou a Asia 	
usageExample:n08492.sg01.s99.u01	Pers.	despumare falernum	 Despumare Falernum 	 Cozer , digerir o vinho Falerno 	
usageExample:n08508.sg01.s99.u01	Luc.	fides, & pietas destituunt	 Fides , & pietas destituunt 	 A fidelidade , e piedade desapparecem 	
usageExample:n08529.sg01.s99.u01	Suet.	equus desultorius	 Equus desultorius 	 Cavallo , de que usavão os que correndo saltavão de hum para outro cavallo 	
usageExample:n08531.sg01.s99.u01	Cic.	officio, & muneri suo deesse	 Officio , & muneri suo deesse 	 Não cumprir com a sua obrigação 	
usageExample:n08531.sg01.s99.u02	Cic.	deesse alicui consilio	 Deesse alicui consilio 	 Deixar de aconselhar alguem 	
usageExample:n08538.sg01.s99.u01	Sil. Ital.	detegere ensem uagina	 Detegere ensem vagina 	 Desembainhar a espada 	
usageExample:n08538.sg01.s99.u02	Liv.	aedes detecta	 Aedes detecta 	 Templo destelhado , ou sem tecto 	
usageExample:n08547.sg01.s99.u01	Col.	detergere fastidia	 Detergere fastidia 	 Desenfastiar 	
usageExample:n08560.sg01.s99.u01	Plin. Jun.	detestari iram dei in caput alicuius	 Detestari iram Dei in caput alicujus 	 Praguejar alguem 	
usageExample:n08564.sg01.s99.u01	Plin.	detinent terras niues	 Detinent terras nives 	 As neves occupão as terras , estão sem se derreter 	
usageExample:n08573.sg01.s99.u01	Plin.	detractio sanguinis	 Detractio sanguinis 	 Sangria 	
usageExample:n08577.sg01.s99.u01	Ovid.	detrahere alicui	 Detrahere alicui 	 Calumniar , dizer mal , murmurar de alguem . 	
usageExample:n08577.sg01.s99.u02	Cic.	detrahere de aliquo	 Detrahere de aliquo 	 Calumniar , dizer mal , murmurar de alguem 	
usageExample:n08588.sg01.s99.u01	Ovid.	detruncare caput	 Detruncare caput 	 Decapitar , cortar a cabeça 	
usageExample:n08591.sg01.s99.u01	Stat.	detumuere animi maris	 Detumuere animi maris 	 O mar se aplacou 	
usageExample:n08591.sg01.s99.u02	Petr.	detumescunt odia	 Detumescunt odia 	 Abrandão - se os odios 	
usageExample:n08635.sg01.s99.u01	Virg.	deuoluere pensa fulis	 Devolvere pensa fulis 	 Fiar 	
usageExample:n08635.sg01.s99.u02	Hor.	deuoluere noua uerba	 Devolvere nova verba 	 Usar de expressões atrevidas 	
usageExample:n08643.sg01.s99.u01	Caes.	deuouere se amicitiae alicuius	 Devovere se amicitiae alicujus 	 Entregar - se todo á amizade de alguem 	
usageExample:n08674.sg01.s99.u01	Ulp.	diaetarii fures	 Diaetarii fures 	 Ladrões , que entravão nas camaras , ou casa , em que se comia 	
usageExample:n08716.sg01.s99.u01	Cic.	dicas sortiri	 Dicas sortiri 	 Tirar os processos por sorte 	
usageExample:n08730.sg01.s99.u01	Ter.	dicare operam alicui	 Dicare operam alicui 	 Servir a alguem 	
usageExample:n08730.sg01.s99.u02	Cic.	dicare diem totum alicui	 Dicare diem totum alicui 	 Destinar hum dia inteiro para ouvir alguem 	
usageExample:n08730.sg01.s99.u03	Sen. Trag.	dicare annos suos uitae coelibi	 Dicare annos suos vitae coelibi 	 Resolver - se a passar a vida sem casar 	
usageExample:n08731.sg01.s99.u01	Cic.	dicere diem alicui	 Dicere diem alicui 	 Assinar dia para apparecer em juizo 	
usageExample:n08731.sg01.s99.u02	Cic.	dicere salutem	 Dicere salutem 	 Saudar , enviar saude 	
usageExample:n08747.sg01.s99.u01	Hor.	dicta absona fortunis	 Dicta absona fortunis 	 Palavras , que não concordão com o estado , que se tem 	
usageExample:n08747.sg01.s99.u02	Quinct.	dicto audiens	 Dicto audiens 	 Obediente 	
usageExample:n08753.sg01.s99.u01	Hor.	risu diducere rictum auditoris	 Risu diducere rictum auditoris 	 Fazer dar grandes rizadas ao ouvinte 	
usageExample:n08758.sg01.s99.u01	Cic.	diem obire	 Diem obire 	 Morrer . 	
usageExample:n08758.sg01.s99.u02	Plaut.	diem fungi	 Diem fungi 	 Morrer . 	
usageExample:n08758.sg01.s99.u03	Tac.	diem supremum explere	 Diem supremum explere 	 Morrer 	
usageExample:n08758.sg01.s99.u04	Plaut.	die caeca emere	 Die caeca emere 	 Comprar fiado 	
usageExample:n08758.sg01.s99.u05	Plaut.	die oculata	 Die oculata 	 Comprar com dinheiro á vista 	
usageExample:n08796.sg01.s99.u01	Ovid.	uultum diffundere	 Vultum diffundere 	 Mostrar o semblante alegre 	
usageExample:n08796.sg01.s99.u02	Virg.	diffundere aliquid in ora uirum passim	 Diffundere aliquid in ora virum passim 	 Divulgar alguma cousa 	
usageExample:n08800.sg01.s99.u01	Plin.	diffusa sus	 Diffusa sus 	 Porca prenhe 	
usageExample:n08802.sg01.s99.u01	Col.	digerere crines	 Digerere crines 	 Pentear - se 	
usageExample:n08802.sg01.s99.u02	Virg.	ita digerit omnis calchas	 Ita digerit omnis Calchas 	 Calchas desta sorte interpreta tudo 	
usageExample:n08812.sg01.s99.u01	Cic.	digito aliquem attingere	 Digito aliquem attingere 	 Fazer huma levissima affronta a alguem 	
usageExample:n08812.sg01.s99.u02	Cic.	digito coelum	 Digito coelum 	 Julgar - se no cume das felicidades 	
usageExample:n08818.sg01.s01.u01	Cic.	dignitas oris	 Dignitas oris 	 Gentileza , magestade do semblante 	
usageExample:n08818.sg01.s01.u02	Cic.	dignitas domus	 Dignitas domus 	 Magnificencia de huma casa 	
usageExample:n08827.sg01.s99.u01	Suet.	digressa a marito	 Digressa a marito 	 Desquitada de seu marido 	
usageExample:n08874.sg01.s99.u01	Gell.	dilutus color	 Dilutus color 	 Cor desmaiada 	
usageExample:n08893.sg01.s99.u01	Ter.	diminuere caput alicui	 Diminuere caput alicui 	 Partir a cabeça a alguem 	
usageExample:n08894.sg01.s99.u01	Caes.	diminutio capitis	 Diminutio capitis 	 Degradação do primeiro estado 	
usageExample:n08904.sg01.s99.u01	Cic.	dinumerare pecuniam	 Dinumerare pecuniam 	 Pagar contando o dinheiro 	
usageExample:n08925.sg01.s99.u01	Vitr.	aedes dipterae	 Aedes dipterae 	 Casas com duas ordens de columnas 	
usageExample:n08935.sg01.s99.u01	Liv.	directa oratio	 Directa oratio 	 Discurso natural , sem ambiguidade 	
usageExample:n08935.sg01.s99.u02	Cic.	directus homo	 Directus homo 	 Homem inflexivel , austero 	
usageExample:n08951.sg01.s99.u01	Virg.	diriguit gelidus formidine sanguis	 Diriguit gelidus formidine sanguis 	 O medo lhe fez gelar o sangue nas veias 	
usageExample:n08951.sg01.s99.u02	Ovid.	diriguere comae	 Diriguere comae 	 Arripiarão - se - lhe os cabellos 	
usageExample:n08982.sg01.s99.u01	Hor.	discinctus nepos	 Discinctus nepos 	 Homem de vida estragada 	
usageExample:n08994.sg01.s99.u01	Ter	discere aliqui ab	 Discere aliqui ab 	 Aprender alguma cousa com alguem . 	
usageExample:n08994.sg01.s99.u02	Ter	discere aliqui de	 Discere aliqui de 	 Aprender alguma cousa com alguem . 	
usageExample:n08994.sg01.s99.u03	Cic.	discere ex	 Discere ex 	 Aprender alguma cousa com alguem . 	
usageExample:n08994.sg01.s99.u04	Liv.	discere sub aliquo	 Discere sub aliquo 	 Aprender alguma cousa com alguem . 	
usageExample:n08994.sg01.s99.u05	Cic.	discere apud	 Discere apud 	 Aprender alguma cousa com alguem . 	
usageExample:n08994.sg01.s99.u06	Ovid.	discere per aliquem	 Discere per aliquem 	 Aprender alguma cousa com alguem 	
usageExample:n08994.sg01.s99.u07	Cic.	discere sidibus	 Discere sidibus 	 Aprender a tocar algum instrumento de cordas 	
usageExample:n09016.sg01.s99.u01	Ovid.	discrimen capitis	 Discrimen capitis 	 Separação dos cabellos 	
usageExample:n09046.sg01.s99.u01	Ovid.	disiicere capillos	 Disjicere capillos 	 Soltar os cabellos 	
usageExample:n09046.sg01.s99.u02	Virg.	disiicere pacem	 Disjicere pacem 	 Quebrar a paz 	
usageExample:n09053.sg01.s99.u01	Varr.	disiungi a mamma	 Disjungi a mamma 	 Desmammar - se 	
usageExample:n09064.sg01.s99.u01	Gell.	rerum disparilitas	 Rerum disparilitas 	 Confusão , mistura de cousas 	
usageExample:n09075.sg01.s99.u01	Plin.	dispensator bellis	 Dispensator bellis 	 Pagador dos soldados 	
usageExample:n09077.sg01.s99.u01	Sen.	dispensare suas uires	 Dispensare suas vires 	 Moderar as suas forças 	
usageExample:n09083.sg01.s99.u01	Virg.	dispergere uitam in auras	 Dispergere vitam in auras 	 Morrer 	
usageExample:n09177.sg01.s99.u01	Cic.	dissipare patrimonium conuiuiis	 Dissipare patrimonium conviviis 	 Dispender os seus bens em festins 	
usageExample:n09177.sg01.s99.u02	Cels.	dissipare humorem	 Dissipare humorem 	 Resolver o humor 	
usageExample:n09177.sg01.s99.u03	Caes.	dissipare hostes	 Dissipare hostes 	 Derrotar os inimigos 	
usageExample:n09184.sg01.s99.u01	Plaut.	dissoluere aliquem	 Dissolvere aliquem 	 Despachar , não demorar alguem 	
usageExample:n09184.sg01.s99.u02	Ter.	dissoluere se	 Dissolvere se 	 Desembaraçar - se , expedir - se dos negocios 	
usageExample:n09184.sg01.s99.u03	Sall.	senectus plerosque dissoluit	 Senectus plerosque dissolvit 	 A mais da gente morre de velha 	
usageExample:n09185.sg01.s99.u01	Cic.	dissolute uendere	 Dissolute vendere 	 Vender por preço arrastado 	
usageExample:n09185.sg01.s99.u02	Cic.	dissolute dicere	 Dissolute dicere 	 Fallar sem conjunções 	
usageExample:n09187.sg01.s99.u01	Cic.	dissolutus in re familiari	 Dissolutus in re familiari 	 Prodigo , dissipador da sua fazenda 	
usageExample:n09187.sg01.s99.u02	Cic.	dissolutus homo	 Dissolutus homo 	 Homem dissoluto , de pervertidos costumes 	
usageExample:n09217.sg01.s99.u01	Col.	distichum hordeum	 Distichum hordeum 	 Especie de sevada com duas ordens de grãos 	
usageExample:n09225.sg01.s99.u01	Sil. Ital.	distinguere uocem lingua	 Distinguere vocem lingua 	 Articular bem as palavras 	
usageExample:n09225.sg01.s99.u02	Cic.	distinguere pocula gemmis	 Distinguere pocula gemmis 	 Cravar huns copos de pedraria 	
usageExample:n09233.sg01.s99.u01	Lucr.	filatim distrahere	 Filatim distrahere 	 Desfiar miudamente 	
usageExample:n09243.sg01.s99.u01	Cic.	distringere gladium	 Distringere gladium 	 Desembainhar a espada 	
usageExample:n09243.sg01.s99.u02	Lucr.	distringere ramos	 Distringere ramos 	 Arrancar os ramos 	
usageExample:n09243.sg01.s99.u03	Col.	distringere aliquid	 Distringere aliquid 	 Esmigalhar 	
usageExample:n09259.sg01.s99.u01	Hor.	diuellere aliqui mordicus	 Divellere aliqui mordicus 	 Arrancar alguma cousa ás dentadas . 	
usageExample:n09259.sg01.s99.u02	Ovid.	diuellere morsu	 Divellere morsu 	 Arrancar alguma cousa ás dentadas 	
usageExample:n09259.sg01.s99.u03	Virg.	diuellere nodos manibus	 Divellere nodos manibus 	 Desatar os nós 	
usageExample:n09259.sg01.s99.u04	Hor.	diuellere somnos	 Divellere somnos 	 Quebrar o sono 	
usageExample:n09277.sg01.s99.u01	Luc.	diuertere acies	 Divertere acies 	 Fazer mudar de partido as tropas 	
usageExample:n09277.sg01.s99.u02	Quinct.	diuertere ad alia	 Divertere ad alia 	 Fazer huma digressão , fallar sobre outra materia . 	
usageExample:n09277.sg01.s99.u03	Plin.	diuertere a proposito	 Divertere a proposito 	 Fazer huma digressão , fallar sobre outra materia 	
usageExample:n09277.sg01.s99.u04	Plaut.	diuertunt mores uirgini longe, ac lupae	 Divertunt mores virgini longe , ac lupae 	 Ha grande disparidade entre os costumes de huma donzella , e os de huma mulher prostituida 	
usageExample:n09285.sg01.s99.u01	Ovid.	diuidua luna	 Dividua Luna 	 Quarto de Lua 	
usageExample:n09285.sg01.s99.u02	Plin.	diuidua uiscera ferarum	 Dividua viscera ferarum 	 Entranhas despedaçadas das feras 	
usageExample:n09306.sg01.s99.u01	Hor.	subdium rapere	 Subdium rapere 	 Publicar , divulgar 	
usageExample:n09326.sg01.s99.u01	Ter.	ut sese res dant	 Ut sese res dant 	 Segundo as cousas correm 	
usageExample:n09326.sg01.s99.u02	Ter.	dare aliquem ad languorem	 Dare aliquem ad languorem 	 Fatigar alguem 	
usageExample:n09326.sg01.s99.u03	Virg.	dare fenestram	 Dare fenestram 	 Abrir hum buraco na parede 	
usageExample:n09326.sg01.s99.u04	Ter.	dare paucis	 Dare paucis 	 Dizer brevemente 	
usageExample:n09326.sg01.s99.u05	Cic.	dare aliquid auribus	 Dare aliquid auribus 	 Dizer alguma cousa por lisonja 	
usageExample:n09326.sg01.s99.u06	Liv.	dare aliquem manibus	 Dare aliquem manibus 	 Sacrificar alguem ás almas dos mortos 	
usageExample:n09326.sg01.s99.u07	Liv.	dare signum receptui	 Dare signum receptui 	 Tocar a recolher 	
usageExample:n09354.sg01.s99.u01	Plaut.	doliaris anus	 Doliaris anus 	 Velha grossa , como huma pipa 	
usageExample:n09360.sg01.s99.u01	Hor.	dolare suste lumbos	 Dolare suste lumbos 	 Fustigar bem , chegar a roupa ao couro , como se diz vulgarmente 	
usageExample:n09375.sg01.s99.u01	Hor.	nomina dominantia	 Nomina dominantia 	 Nomes proprios 	
usageExample:n09483.sg01.s99.u01	Vitr.	ductarius funis	 Ductarius funis 	 Maroma ou calabre , com que nos guindastes , & c . se levantão ou abaixão os pezos 	
usageExample:n09553.sg01.s99.u01	Cic.	duplicare uerba	 Duplicare verba 	 Repizar as palavras 	
usageExample:n09572.sg01.s99.u01	Plin.	induere duritiam	 Induere duritiam 	 Fazer - se robusto 	
usageExample:n09572.sg01.s99.u02	Ovid.	duritiam ponere	 Duritiam ponere 	 Effeminar - se . 	
usageExample:n09572.sg01.s99.u03	Ovid.	duritiam deponere	 Duritiam deponere 	 Effeminar - se 	
usageExample:n09572.sg01.s99.u04	Lucr.	in duritiem lapidescere	 In duritiem lapidescere 	 Petrificar - se , ou endurecer como pedra 	
usageExample:n09577.sg01.s99.u01	Virg.	dura quies	 Dura quies 	 Morte 	
usageExample:n09577.sg01.s99.u02	Plaut.	dura seruitus	 Dura servitus 	 Cativeiro cruel 	
usageExample:n09577.sg01.s99.u03	Cic.	dura annona	 Dura annona 	 Carestia de viveres 	
usageExample:n09611.sg01.s99.u01	Cic.	ebullire uirtutes	 Ebullire virtutes 	 Discorrer das virtudes com termos empollados 	
usageExample:n09611.sg01.s99.u02	Petr.	ebullire animam	 Ebullire animam 	 Morrer 	
usageExample:n09668.sg01.s99.u01	Plaut.	uinum edentulum	 Vinum edentulum 	 Vinho muito velho 	
usageExample:n09686.sg01.s99.u01	Virg.	est colis flamma medullas	 Est colis flamma medullas 	 Hum fogo occulto o devora 	
usageExample:n09686.sg01.s99.u02	Plaut.	edere sermonem alicuius	 Edere sermonem alicujus 	 Escutar alguem attentamente 	
usageExample:n09687.sg01.s99.u01	Cic.	edere cantus	 Edere cantus 	 Cantar 	
