ontolex.LexicalSense	lexicog.usageExample	lexinfo.frequency	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n02203.sg01.s01							Ho guardador		 Ho guardador 	
lexicalSense:n02204.sg01.s01							Affirmar		 Affirmar 	
lexicalSense:n02205.sg01.s01							Affirmação		 Affirmação 	
lexicalSense:n02206.sg01.s01							Affirmadamente		 Affirmadamente 	
lexicalSense:n02207.sg01.s01							Falar ousadamẽte		 Falar ousadamẽte 	
lexicalSense:n02208.sg01.s01							Ho porteiro do Iuyz. ou Corregedor		 Ho porteiro do Iuyz . ou Corregedor 	
lexicalSense:n02209.sg01.s01							Assentar-se apar doutrem		 Assentar - se apar doutrem 	
lexicalSense:n02210.sg01.s01							Cousa continua		 Cousa continua 	
lexicalSense:n02211.sg01.s01							A continuação		 A continuação 	
lexicalSense:n02212.sg01.s01							Continuadamente		 Continuadamente 	
lexicalSense:n02213.sg01.s01							Assinalar		 Assinalar 	
lexicalSense:n02214.sg01.s01							Saltar		 Saltar 	
lexicalSense:n02215.sg01.s01							Comparar		 Comparar 	
lexicalSense:n02216.sg01.s01							A comparação		 A comparação 	
lexicalSense:n02217.sg01.s01							Fingir		 Fingir 	
lexicalSense:n02218.sg01.s01							Ho fingimento		 Ho fingimento 	
lexicalSense:n02219.sg01.s01							Estar apar dalguem		 Estar apar dalguem 	
lexicalSense:n02220.sg01.s01							Acostumar		 Acostumar 	
lexicalSense:n02221.sg01.s01							Acostumar a outrẽ		 Acostumar a outrẽ 	
lexicalSense:n02222.sg01.s01							Acostumar-se. ou auezar-se		 Acostumar - se . ou auezar - se 	
lexicalSense:n02223.sg01.s01							Costumar-se as mas fadas		 Costumar - se as mas fadas 	
lexicalSense:n02224.sg01.s01							Ho costume		 Ho costume 	
lexicalSense:n02225.sg01.s01							Cousa acostumada. ou auezada		 Cousa acostumada . ou auezada 	
lexicalSense:n02226.sg01.s01							Soar ẽ par doutrem		 Soar ẽ par doutrem 	
lexicalSense:n02227.sg01.s01							Ho cauaco		 Ho cauaco 	
lexicalSense:n02228.sg01.s01							Em cauaquinhos		 Em cauaquinhos 	
lexicalSense:n02229.sg01.s01							Cozer hũa cousa a outra		 Cozer hũa cousa a outra 	
lexicalSense:n02230.sg01.s01							Cousa assada		 Cousa assada 	
lexicalSense:n02231.sg01.s01							Desejar de leuar boa vida		 Desejar de leuar boa vida 	
lexicalSense:n02232.sg01.s01							Tomar		 Tomar 	
lexicalSense:n02233.sg01.s01							Leuantar-se pera fazer honrra a outrem		 Leuantar - se pera fazer honrra a outrem 	
lexicalSense:n02234.sg01.s01							A estrelinha		 A estrelinha 	
lexicalSense:n02235.sg01.s01							A asma doença		 A asma doença 	
lexicalSense:n02236.sg01.s01							Cousa doẽte dasma		 Cousa doẽte dasma 	
lexicalSense:n02237.sg01.s01							Consentir. ou outorgar com outrem		 Consentir . ou outorgar com outrem 	
lexicalSense:n02238.sg01.s01							A outorga. ou cõsentimento		 A outorga . ou cõsentimento 	
lexicalSense:n02239.sg01.s01							Estar em pee apar de alguem		 Estar em pee apar de alguem 	
lexicalSense:n02240.sg01.s01							Pedir tributo as ymagẽs. 		 Pedir tributo as ymagẽs . 	Dir-se-ha dos tyrãnos que ate as estatuas pedẽ tributo.
lexicalSense:n02241.sg01.s01							Ho ganis		 Ho ganis 	
lexicalSense:n02242.sg01.s01							Jugar com astregalizes		 Jugar com astregalizes 	
lexicalSense:n02243.sg01.s01							Cousa que aparta		 Cousa que aparta 	
lexicalSense:n02244.sg01.s01							Cousa estrelada		 Cousa estrelada 	
lexicalSense:n02245.sg01.s01							Ataca		 Ataca 	
lexicalSense:n02246.sg01.s01							Ataca sem agulheta		 Ataca sem agulheta 	
lexicalSense:n02247.sg01.s01							Apertar. ou atacar		 Apertar . ou atacar 	
lexicalSense:n02248.sg01.s01							Dou minha palaura. ou fee		 Dou minha palaura . ou fee 	
lexicalSense:n02249.sg01.s01							Cousa que fala destrellas		 Cousa que fala destrellas 	
lexicalSense:n02250.sg01.s01							O astrologo que deita juizos		 O astrologo que deita juizos 	
lexicalSense:n02251.sg01.s01							A sciencia da astrologia		 A sciencia da astrologia 	
lexicalSense:n02252.sg01.s01							A arte que trata dos mouimentos		 A arte que trata dos mouimentos 	
lexicalSense:n02253.sg01.s01							A estrella		 A estrella 	
lexicalSense:n02254.sg01.s01							Cousa das estrellas		 Cousa das estrellas 	
lexicalSense:n02255.sg01.s01							Por affirmar. ou cõfirmar		 Por affirmar . ou cõfirmar 	
lexicalSense:n02256.sg01.s01							Cousa sagaz. ou arteyra		 Cousa sagaz . ou arteyra 	
lexicalSense:n02257.sg01.s01							A sagacidade		 A sagacidade 	
lexicalSense:n02258.sg01.s01							Cautelosamente		 Cautelosamente 	
lexicalSense:n02259.sg01.s01							Ho asturiano		 Ho asturiano 	
lexicalSense:n02260.sg01.s01							Ho caualo piqueno. ou quartão		 Ho caualo piqueno . ou quartão 	
lexicalSense:n02261.sg01.s01							Ho couto		 Ho couto 	
lexicalSense:n02262.sg01.s01							Ay. ou mas		 Ay . ou mas 	
lexicalSense:n02263.sg01.s01							Ta. ta		 Ta . ta 	
lexicalSense:n02264.sg01.s01							Ho quarto auo		 Ho quarto auo 	
lexicalSense:n02265.sg01.s01							A quarta auò		 A quarta auò 	
lexicalSense:n02266.sg01.s01						latinis Noxa dicitur. 	Fingião ser hũa Deosa de toda perdição. & discordias	 latinis Noxa dicitur . 	 Fingião ser hũa Deosa de toda perdição . & discordias 	
lexicalSense:n02267.sg01.s01							Os aduares dos mouros		 Os aduares dos mouros 	
lexicalSense:n02268.sg01.s01							Cousa preta. ou negra		 Cousa preta . ou negra 	
lexicalSense:n02269.sg01.s01							Ho dia azinhago		 Ho dia azinhago 	
lexicalSense:n02270.sg01.s01							Desde minino		 Desde minino 	
lexicalSense:n02271.sg01.s01							Ho lutador		 Ho lutador 	
lexicalSense:n02272.sg01.s01							A luta		 A luta 	
lexicalSense:n02273.sg01.s01							Cousa de luta		 Cousa de luta 	
lexicalSense:n02274.sg01.s01							A arte do lutador		 A arte do lutador 	
lexicalSense:n02275.sg01.s01							Ter officio de lutador		 Ter officio de lutador 	
lexicalSense:n02276.sg01.s01							O esteo. ou cão de pedra em figura de pedra		 O esteo . ou cão de pedra em figura de pedra 	
lexicalSense:n02277.sg01.s01							Os farelinhos da raça do sol cousa indiuisiuel		 Os farelinhos da raça do sol cousa indiuisiuel 	
lexicalSense:n02278.sg01.s01						vt & 		 vt & 		
lexicalSense:n02278.sg01.s02			Aliquando			pro quàm	(que)	 pro quàm 	 ( que ) 	
lexicalSense:n02279.sg01.s01							A tinta		 A tinta 	
lexicalSense:n02280.sg01.s01							A tinta branca		 A tinta branca 	
lexicalSense:n02281.sg01.s01							A caparosa. ou tinta de çapateiros		 A caparosa . ou tinta de çapateiros 	
lexicalSense:n02282.sg01.s01							A tinta de pintores		 A tinta de pintores 	
lexicalSense:n02283.sg01.s01							Ho tinteiro		 Ho tinteiro 	
lexicalSense:n02284.sg01.s01							Cousa vestida de luto		 Cousa vestida de luto 	
lexicalSense:n02285.sg01.s01							A colera. ou melãconia		 A colera . ou melãconia 	
lexicalSense:n02286.sg01.s01							A sala		 A sala 	
lexicalSense:n02287.sg01.s01							A saleta		 A saleta 	
lexicalSense:n02288.sg01.s01							Ho veador da casa		 Ho veador da casa 	
lexicalSense:n02289.sg01.s01							As armoles. erua de orta		 As armoles . erua de orta 	
lexicalSense:n02290.sg01.s01							A etiguidade não perfeita		 A etiguidade não perfeita 	
lexicalSense:n02291.sg01.s01							Ho meyo etego		 Ho meyo etego 	
lexicalSense:n02292.sg01.s01							Cousa cruel ou deshumana		 Cousa cruel ou deshumana 	
lexicalSense:n02293.sg01.s01							A crueldade. ou deshumanidade		 A crueldade . ou deshumanidade 	
lexicalSense:n02294.sg01.s01							Cruelmente		 Cruelmente 	
lexicalSense:n02295.sg01.s01							Hũa aue chamada francolim		 Hũa aue chamada francolim 	
lexicalSense:n02296.sg01.s01										Se dira o seruo cheo de ferretes. porque esta aue tẽ diuersas listras.
lexicalSense:n02297.sg01.s01							As riquezas demasiadas		 As riquezas demasiadas 	
lexicalSense:n02298.sg01.s01							Ho brocado		 Ho brocado 	
lexicalSense:n02299.sg01.s01							Partidos ricos		 Partidos ricos 	
lexicalSense:n02300.sg01.s01							todauia		 todauia 	
lexicalSense:n02301.sg01.s01							Ho tocar. ou tocamẽto		 Ho tocar . ou tocamẽto 	
lexicalSense:n02302.sg01.s01							Tocar. ou estar atẽto		 Tocar . ou estar atẽto 	
lexicalSense:n02303.sg01.s01							Estar pronto		 Estar pronto 	
lexicalSense:n02304.sg01.s01							Cousa atenta		 Cousa atenta 	
lexicalSense:n02305.sg01.s01							Homẽ acquiridor de fazenda		 Homẽ acquiridor de fazenda 	
lexicalSense:n02306.sg01.s01							Com tenção		 Com tenção 	
lexicalSense:n02307.sg01.s01							Adelgaçar		 Adelgaçar 	
lexicalSense:n02308.sg01.s01							Demenuir a fazenda		 Demenuir a fazenda 	
lexicalSense:n02309.sg01.s01							Ho adelgaçamento. ou diminuimento		 Ho adelgaçamento . ou diminuimento 	
lexicalSense:n02310.sg01.s01							Ho deminuidor do cabedal		 Ho deminuidor do cabedal 	
lexicalSense:n02311.sg01.s01							Gastar. ou cõsumir		 Gastar . ou cõsumir 	
lexicalSense:n02312.sg01.s01							Afirmar. ou denunciar		 Afirmar . ou denunciar 	
lexicalSense:n02313.sg01.s01							Afirmação. ou denunciação		 Afirmação . ou denunciação 	
lexicalSense:n02314.sg01.s01							Manjares doces. como cõseruas. 		 Manjares doces . como cõseruas . 	Dir-se-ha de toda a cousa suaue & gostosa.
lexicalSense:n02315.sg01.s01							A fe verdadeyra. 		 A fe verdadeyra . 	porque os Athenienses venerauão muyto à deosa da fe.
lexicalSense:n02316.sg01.s01							Testemunha de verdade		 Testemunha de verdade 	
lexicalSense:n02317.sg01.s01							A eloquẽcia polida		 A eloquẽcia polida 	
lexicalSense:n02318.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n02319.sg01.s01										Dir-se-ha do que he soberbo na casa alhea. porque os Athenienses em terras alheas deytauão os naturaes fora por se meter à si.
lexicalSense:n02320.sg01.s01										Dir-se-ha do couardo que se faz feroz quando estâ seguro. porque os Athenienses na guerra erão medrosos. em ho porto da sua terra se fazião valentes.
lexicalSense:n02321.sg01.s01							A graça polida de falar		 A graça polida de falar 	
lexicalSense:n02322.sg01.s01							Pertencer		 Pertencer 	
lexicalSense:n02323.sg01.s01							Tocar		 Tocar 	
lexicalSense:n02324.sg01.s01							Dar no aluo. ou acertar		 Dar no aluo . ou acertar 	
lexicalSense:n02325.sg01.s01							A policia do falar		 A policia do falar 	
lexicalSense:n02326.sg01.s01							Falar polidamente		 Falar polidamente 	
lexicalSense:n02327.sg01.s01							Trosquiar		 Trosquiar 	
lexicalSense:n02328.sg01.s01							Aleuantar		 Aleuantar 	
lexicalSense:n02329.sg01.s01							Atordoar. ou atroar		 Atordoar . ou atroar 	
lexicalSense:n02330.sg01.s01							Ser soberbo. tèr fantesia		 Ser soberbo . tèr fantesia 	
lexicalSense:n02331.sg01.s01							Cousa atordoada. ou atroada		 Cousa atordoada . ou atroada 	
lexicalSense:n02332.sg01.s01							Ho atordoamento		 Ho atordoamento 	
lexicalSense:n02333.sg01.s01							Atraher pera si		 Atraher pera si 	
lexicalSense:n02334.sg01.s01							Ensoualhar com as mãos		 Ensoualhar com as mãos 	
lexicalSense:n02335.sg01.s01							Ho ensoualhamẽto		 Ho ensoualhamẽto 	
lexicalSense:n02336.sg01.s01							Cousa çafada		 Cousa çafada 	
lexicalSense:n02337.sg01.s01							Atribuir		 Atribuir 	
lexicalSense:n02338.sg01.s01							Ho gago. ou tartaro		 Ho gago . ou tartaro 	
lexicalSense:n02339.sg01.s01							Cousa auarenta		 Cousa auarenta 	
lexicalSense:n02340.sg01.s01							Auareza		 Auareza 	
lexicalSense:n02341.sg01.s01							Auarentamente		 Auarentamente 	
lexicalSense:n02342.sg01.s01							Ho auarento nada faz bem. senã morrendo		 Ho auarento nada faz bem . senã morrendo 	
lexicalSense:n02343.sg01.s01							Ho caçador daues		 Ho caçador daues 	
lexicalSense:n02344.sg01.s01							Caçar aues		 Caçar aues 	
lexicalSense:n02345.sg01.s01							Alcançar graça		 Alcançar graça 	
lexicalSense:n02346.sg01.s01							A caça. ou ganancia		 A caça . ou ganancia 	
lexicalSense:n02347.sg01.s01							Ho lanço em almoeda		 Ho lanço em almoeda 	
lexicalSense:n02348.sg01.s01							Acrecentar		 Acrecentar 	
lexicalSense:n02349.sg01.s01							Ho acrecentamẽto		 Ho acrecentamẽto 	
lexicalSense:n02350.sg01.s01							A almoeda		 A almoeda 	
lexicalSense:n02351.sg01.s01							Vender em almoeda		 Vender em almoeda 	
lexicalSense:n02352.sg01.s01							Cousa ousada		 Cousa ousada 	
lexicalSense:n02353.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n02354.sg01.s01							Ho atreuimento		 Ho atreuimento 	
lexicalSense:n02355.sg01.s01							Atreuida. ou ousadamente		 Atreuida . ou ousadamente 	
lexicalSense:n02356.sg01.s01							Ousar. ou atreuer		 Ousar . ou atreuer 	
lexicalSense:n02357.sg01.s01							Ouuir		 Ouuir 	
lexicalSense:n02358.sg01.s01							Ter boa fama. têr mâ fama		 Ter boa fama . têr mâ fama 	
lexicalSense:n02359.sg01.s01							Ho ouuinte. ou ouuidor		 Ho ouuinte . ou ouuidor 	
lexicalSense:n02360.sg01.s01							Sou-te obediẽte		 Sou - te obediẽte 	
lexicalSense:n02361.sg01.s01							Ho ouuido		 Ho ouuido 	
lexicalSense:n02362.sg01.s01							A tenção douuir		 A tenção douuir 	
lexicalSense:n02363.sg01.s01							A escola. ou audiẽcia		 A escola . ou audiẽcia 	
lexicalSense:n02364.sg01.s01							Deos te salue		 Deos te salue 	
lexicalSense:n02365.sg01.s01							Apartar		 Apartar 	
lexicalSense:n02366.sg01.s01							Arrancar		 Arrancar 	
lexicalSense:n02367.sg01.s01							A gayta. ou auea do trigo		 A gayta . ou auea do trigo 	
lexicalSense:n02368.sg01.s01							Desejar		 Desejar 	
lexicalSense:n02369.sg01.s01							Cousa virada do auesso		 Cousa virada do auesso 	
lexicalSense:n02370.sg01.s01							Ho auesso da mão		 Ho auesso da mão 	
lexicalSense:n02371.sg01.s01							Virar		 Virar 	
lexicalSense:n02372.sg01.s01							Desdanhar		 Desdanhar 	
lexicalSense:n02373.sg01.s01										Dir-se-ha dos golosos que do espeto comem a carne.
lexicalSense:n02374.sg01.s01							Tirar		 Tirar 	
lexicalSense:n02375.sg01.s01							Fugir		 Fugir 	
lexicalSense:n02376.sg01.s01							Acrecentar		 Acrecentar 	
lexicalSense:n02377.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n02378.sg01.s01							Acrecentar-se		 Acrecentar - se 	
lexicalSense:n02379.sg01.s01							Ho adeuinho. ou agoureyro		 Ho adeuinho . ou agoureyro 	
lexicalSense:n02380.sg01.s01							Ho agouro. ou adeuinha		 Ho agouro . ou adeuinha 	
lexicalSense:n02381.sg01.s01							Adeuinhar		 Adeuinhar 	
lexicalSense:n02382.sg01.s01							Per agouros		 Per agouros 	
lexicalSense:n02383.sg01.s01							Cousa imperial		 Cousa imperial 	
lexicalSense:n02384.sg01.s01							Ho emperador. ou mes de Agosto		 Ho emperador . ou mes de Agosto 	
lexicalSense:n02385.sg01.s01							A Emperatriz		 A Emperatriz 	
lexicalSense:n02386.sg01.s01							Cousa que pertẽce a Emperatriz		 Cousa que pertẽce a Emperatriz 	
lexicalSense:n02387.sg01.s01							A tenda imperial		 A tenda imperial 	
lexicalSense:n02388.sg01.s01							Imperialmente		 Imperialmente 	
lexicalSense:n02389.sg01.s01										Dir-se-ha de toda cousa sobre maneira çuya. porque Augias teue hum curral de boys que teue tanto esterco. quanto tres mil boys em muytos annos podiam fazer.
lexicalSense:n02390.sg01.s01							Auo		 Auo 	
lexicalSense:n02391.sg01.s01							Auenca		 Auenca 	
lexicalSense:n02392.sg01.s01							Casa. ou lugar onde se crião passaros		 Casa . ou lugar onde se crião passaros 	
lexicalSense:n02393.sg01.s01							Ho criador. ou guardador de passaros		 Ho criador . ou guardador de passaros 	
lexicalSense:n02394.sg01.s01							Ho passarinho		 Ho passarinho 	
lexicalSense:n02395.sg01.s01							Cousa cobiçosa		 Cousa cobiçosa 	
lexicalSense:n02396.sg01.s01							Ho faminto		 Ho faminto 	
lexicalSense:n02397.sg01.s01							Cobiçosamente		 Cobiçosamente 	
lexicalSense:n02398.sg01.s01							A cobiça. ou auareza		 A cobiça . ou auareza 	
lexicalSense:n02399.sg01.s01							Ho passaro		 Ho passaro 	
lexicalSense:n02400.sg01.s01							A batarda		 A batarda 	
lexicalSense:n02401.sg01.s01							Ho pauão		 Ho pauão 	
lexicalSense:n02402.sg01.s01							Cousa noua. 		 Cousa noua . 	como he passaro branco.
lexicalSense:n02403.sg01.s01										Dir-se-ha do que he fidalgo de geração.
lexicalSense:n02404.sg01.s01										Dir-se-ha da cousa muyto secreta que ninguem a vio. senão se foy algum passaro.
lexicalSense:n02405.sg01.s01							Cousa do auo		 Cousa do auo 	
lexicalSense:n02406.sg01.s01							Cousa descaminhada		 Cousa descaminhada 	
lexicalSense:n02407.sg01.s01							Ho paço dos senhores		 Ho paço dos senhores 	
lexicalSense:n02408.sg01.s01							A panelinha		 A panelinha 	
lexicalSense:n02409.sg01.s01							Ho pano de armar		 Ho pano de armar 	
lexicalSense:n02410.sg01.s01							Cousa armada de panos		 Cousa armada de panos 	
lexicalSense:n02411.sg01.s01							Ho tangedor de frautas		 Ho tangedor de frautas 	
lexicalSense:n02412.sg01.s01							Tanja frautas quem não pode tanger viola. ou arpa. 		 Tanja frautas quem não pode tanger viola . ou arpa . 	Dir-se-ha quando hum não pode andar de sella. que ande de albarda.
lexicalSense:n02413.sg01.s01							Chamar de lugar		 Chamar de lugar 	
lexicalSense:n02414.sg01.s01							A viração. ou fauor		 A viração . ou fauor 	
lexicalSense:n02415.sg01.s01							Cousa dourada		 Cousa dourada 	
lexicalSense:n02416.sg01.s01							A dourada. peyxe		 A dourada . peyxe 	
lexicalSense:n02417.sg01.s01							Ouriuez douro		 Ouriuez douro 	
lexicalSense:n02418.sg01.s01							As cabeçadas do caualo		 As cabeçadas do caualo 	
lexicalSense:n02419.sg01.s01							Coroa douro		 Coroa douro 	
lexicalSense:n02420.sg01.s01							Moeda douro		 Moeda douro 	
lexicalSense:n02421.sg01.s01							Cousa de ouro tal		 Cousa de ouro tal 	
lexicalSense:n02422.sg01.s01										Dir-se-ha dos que tẽ a palaura boa. & obra roym.
lexicalSense:n02423.sg01.s01							Prisam deleytosa. ou vida do cortesaão		 Prisam deleytosa . ou vida do cortesaão 	
lexicalSense:n02424.sg01.s01							Pescar com anzolo douro. 		 Pescar com anzolo douro . 	Dir-se-a dos que fazẽ grãde custo ẽ cousa de pouco interesse.
lexicalSense:n02425.sg01.s01										Dir-se-ha dos homẽs virtuosos & santos. como forão na idade de Saturno.
lexicalSense:n02426.sg01.s01										Dir-se-ha dos que prometem muyto. & nam dão nada.
lexicalSense:n02427.sg01.s01						pro admonere. 	Amoestar	 pro admonere . 	 Amoestar 	
lexicalSense:n02428.sg01.s01										Do que he cõtradito nas cousas manifestas.
lexicalSense:n02429.sg01.s01							Ho ouriuez douro		 Ho ouriuez douro 	
lexicalSense:n02430.sg01.s01							Cousa que tem folhas douro		 Cousa que tem folhas douro 	
lexicalSense:n02431.sg01.s01							A pelle da orelha		 A pelle da orelha 	
lexicalSense:n02432.sg01.s01										Dir-se-ha do homem afeminado.
lexicalSense:n02433.sg01.s01							Ho secretayro		 Ho secretayro 	
lexicalSense:n02434.sg01.s01							A tericia. doença		 A tericia . doença 	
lexicalSense:n02435.sg01.s01							Ho carreyro		 Ho carreyro 	
lexicalSense:n02436.sg01.s01							Reger o carro		 Reger o carro 	
lexicalSense:n02437.sg01.s01							Ho atincal		 Ho atincal 	
lexicalSense:n02438.sg01.s01							Ouro pimente		 Ouro pimente 	
lexicalSense:n02439.sg01.s01							A ameyxa		 A ameyxa 	
lexicalSense:n02440.sg01.s01							Ho mondador das orelhas		 Ho mondador das orelhas 	
lexicalSense:n02441.sg01.s01							Cousa muyto orelhuda. ou que muyto ouue		 Cousa muyto orelhuda . ou que muyto ouue 	
lexicalSense:n02442.sg01.s01							A orelha		 A orelha 	
lexicalSense:n02443.sg01.s01							A menhaã		 A menhaã 	
lexicalSense:n02444.sg01.s01							Sou muyto occupado		 Sou muyto occupado 	
lexicalSense:n02445.sg01.s01							Estou duuidoso		 Estou duuidoso 	
lexicalSense:n02446.sg01.s01							Attento		 Attento 	
lexicalSense:n02447.sg01.s01							A mina douro		 A mina douro 	
lexicalSense:n02448.sg01.s01							Ouro fino sem mistura		 Ouro fino sem mistura 	
lexicalSense:n02449.sg01.s01							Ouro falso		 Ouro falso 	
lexicalSense:n02450.sg01.s01							Dinheyro de mao titolo. ou riquezas mal ganhadas. 		 Dinheyro de mao titolo . ou riquezas mal ganhadas . 	porque tomando Scipião Tolosa/ cidade de Frãça/ roubou-se ho ouro dos templos. & todos os que roubarão ouuerão máfim.
lexicalSense:n02451.sg01.s01							Ouro apurado. 		 Ouro apurado . 	Dir-se-ha dos fieis. & desenganados.
lexicalSense:n02452.sg01.s01							Ho mesmo. 		 Ho mesmo . 	porque Colofonia/ ilha de Grecia/ tinha muy fremoso ouro.
lexicalSense:n02453.sg01.s01							Ouro falso. homem que parece hũ. & he outro		 Ouro falso . homem que parece hũ . & he outro 	
lexicalSense:n02454.sg01.s01							Ouro fino. ho amigo syncero & espermẽtado		 Ouro fino . ho amigo syncero & espermẽtado 	
lexicalSense:n02455.sg01.s01							Ho escuytar		 Ho escuytar 	
lexicalSense:n02456.sg01.s01							Ho escuytador		 Ho escuytador 	
lexicalSense:n02457.sg01.s01							Ha se de obedecer à quẽ bem acõselha		 Ha se de obedecer à quẽ bem acõselha 	
lexicalSense:n02458.sg01.s01							Escutar		 Escutar 	
lexicalSense:n02459.sg01.s01							Ho agouro		 Ho agouro 	
lexicalSense:n02460.sg01.s01							Ho adeuinho		 Ho adeuinho 	
lexicalSense:n02461.sg01.s01							Começar		 Começar 	
lexicalSense:n02462.sg01.s01							Em boa ora		 Em boa ora 	
lexicalSense:n02463.sg01.s01							Ho vẽto de meyo dia		 Ho vẽto de meyo dia 	
lexicalSense:n02464.sg01.s01							Cousa aspera		 Cousa aspera 	
lexicalSense:n02465.sg01.s01							Vinho forte		 Vinho forte 	
lexicalSense:n02466.sg01.s01							A aspereza		 A aspereza 	
lexicalSense:n02467.sg01.s01							Cousa que ousa		 Cousa que ousa 	
lexicalSense:n02468.sg01.s01							A ousadia		 A ousadia 	
lexicalSense:n02469.sg01.s01							Ho escrito de minha mão		 Ho escrito de minha mão 	
lexicalSense:n02470.sg01.s01							Cousa da minha mão		 Cousa da minha mão 	
lexicalSense:n02471.sg01.s01							Ho pedinte chocarreyro		 Ho pedinte chocarreyro 	
lexicalSense:n02472.sg01.s01							Ho fazedor. ou causador		 Ho fazedor . ou causador 	
lexicalSense:n02473.sg01.s01							Obrigar		 Obrigar 	
lexicalSense:n02474.sg01.s01							Cousa obrigada		 Cousa obrigada 	
lexicalSense:n02475.sg01.s01							A obrigação		 A obrigação 	
lexicalSense:n02476.sg01.s01							A authoridade		 A authoridade 	
lexicalSense:n02477.sg01.s01							Ho credito dos homẽs pende de Deos		 Ho credito dos homẽs pende de Deos 	
lexicalSense:n02478.sg01.s01										Do que he causador. & inuentor dalgũa cousa.
lexicalSense:n02479.sg01.s01							Trabalhey de balde		 Trabalhey de balde 	
lexicalSense:n02480.sg01.s01							Deitey o vento nas flores. 		 Deitey o vento nas flores . 	Dir-se-ha do que faz mal a si mesmo.
lexicalSense:n02481.sg01.s01							Ho pão de toda farinha		 Ho pão de toda farinha 	
lexicalSense:n02482.sg01.s01							O que viue por si isento		 O que viue por si isento 	
lexicalSense:n02483.sg01.s01							Os engenhos dos relogios		 Os engenhos dos relogios 	
lexicalSense:n02484.sg01.s01							Ho outono. s. Setembro. Outubro. Nouembro		 Ho outono . s . Setembro . Outubro . Nouembro 	
lexicalSense:n02485.sg01.s01							Afirmar		 Afirmar 	
lexicalSense:n02486.sg01.s01							Ho auó		 Ho auó 	
lexicalSense:n02487.sg01.s01							ho auó da parte do pay		 ho auó da parte do pay 	
lexicalSense:n02488.sg01.s01							O auó da parte da mãy		 O auó da parte da mãy 	
lexicalSense:n02489.sg01.s01							Ho tio. jrmão de minha mãy		 Ho tio . jrmão de minha mãy 	
lexicalSense:n02490.sg01.s01							Ho tio jrmão de minha auó		 Ho tio jrmão de minha auó 	
lexicalSense:n02491.sg01.s01							Ho tio jrmão de minha visauô		 Ho tio jrmão de minha visauô 	
lexicalSense:n02492.sg01.s01							Cousa arrancada		 Cousa arrancada 	
lexicalSense:n02493.sg01.s01							Ho arrancamento		 Ho arrancamento 	
lexicalSense:n02494.sg01.s01							Ajudar		 Ajudar 	
lexicalSense:n02495.sg01.s01							Ajuda		 Ajuda 	
lexicalSense:n02496.sg01.s01							Ho ajudador		 Ho ajudador 	
lexicalSense:n02497.sg01.s01							Cousa que vay ajudar		 Cousa que vay ajudar 	
lexicalSense:n02498.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n02499.sg01.s01							Ho caualo à destra		 Ho caualo à destra 	
lexicalSense:n02500.sg01.s01						pro ollula. 	A panelinha	 pro ollula . 	 A panelinha 	
lexicalSense:n02501.sg01.s01							Ho sobaco. ou asa		 Ho sobaco . ou asa 	
lexicalSense:n02502.sg01.s01							Ho eyxo do carro		 Ho eyxo do carro 	
lexicalSense:n02503.sg01.s01							Ho vnto pera vntar os eyxos		 Ho vnto pera vntar os eyxos 	
lexicalSense:n02504.sg01.s01							A pratica. ou pronunciação		 A pratica . ou pronunciação 	
lexicalSense:n02505.sg01.s01							Cousa asma sem formento		 Cousa asma sem formento 	
lexicalSense:n02506.sg01.s01							A cidade principal em Caldea		 A cidade principal em Caldea 	
lexicalSense:n02507.sg01.s01							cousa daquella cidade		 cousa daquella cidade 	
lexicalSense:n02508.sg01.s01							A baga. ou pedra preciosa		 A baga . ou pedra preciosa 	
lexicalSense:n02509.sg01.s01							Cousa de baga. ou pedraria		 Cousa de baga . ou pedraria 	
lexicalSense:n02510.sg01.s01							As azeytonas pedem azeyte. 		 As azeytonas pedem azeyte . 	Dir-se-ha dos que tem as cousas em abastança. & pedem ainda mais.
lexicalSense:n02511.sg01.s01							Hũa certa erua pera ho olhado		 Hũa certa erua pera ho olhado 	
lexicalSense:n02512.sg01.s01							Viuer como bargante		 Viuer como bargante 	
lexicalSense:n02513.sg01.s01							Festas de Baco		 Festas de Baco 	
lexicalSense:n02514.sg01.s01							Andar bebado. ou doudo		 Andar bebado . ou doudo 	
lexicalSense:n02515.sg01.s01							Ho cajadinho		 Ho cajadinho 	
lexicalSense:n02516.sg01.s01							Ho cajado		 Ho cajado 	
lexicalSense:n02517.sg01.s01							Leuar as costas		 Leuar as costas 	
lexicalSense:n02518.sg01.s01							Ho ratinho de leuar		 Ho ratinho de leuar 	
lexicalSense:n02519.sg01.s01							A boleta		 A boleta 	
lexicalSense:n02520.sg01.s01							A mecha pera fazer camara		 A mecha pera fazer camara 	
lexicalSense:n02521.sg01.s01							Ho balandrao		 Ho balandrao 	
lexicalSense:n02522.sg01.s01							Ho berro da ouelha. ou cordeyro		 Ho berro da ouelha . ou cordeyro 	
