lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n0528.sg01.s01.u02		immolare boues	 Immolare boves 		i, magnificus sumptus, facere.
usageExample:n0528.sg01.s01.u03		bos in ciuitate	 Bos in civitate 		dicitur, ubi quis ad novos honores evehitur.
usageExample:n0528.sg01.s01.u04		bouem in faucibus portat	 Bovem in faucibus portat 		in edacem.
usageExample:n0528.sg01.s02.u01		bos in lingua	 Bos in lingua 		in eos dicitur, qui non audent, quod sentiunt, dicere.
usageExample:n0528.sg01.s02.u02		bos alienus subinde foras prospectat	 Bos alienus subinde foras prospectat 		de his, qui apud alienos non ex animi sententia tractantur.
usageExample:n0529.sg01.s99.u01		ad breue	 Ad breve 	 por breve espaço , ou tempo 	
usageExample:n0531.sg01.s99.u01		bubo canit lusciniae	 Bubo canit lusciniae 		dicimus, cùm infans suadêre conatur eloquenti, vel ineruditus docere doctissimum.
usageExample:n0538.sg01.s02.u01		cadauerum, & ruderum egestio	 Cadaverum , & ruderum egestio 		de ruinis aedeficii.
usageExample:n0540.sg01.s01.u01		cadunt arbori folia, uel ex arbore	 Cadunt arbori folia , vel ex arbore 		
usageExample:n0540.sg01.s99.u01		cadere animo	 Cadere animo 	 esmorecer 	
usageExample:n0540.sg01.s99.u02		cadere causâ	 Cadere causâ 	 ir debaixo na demanda 	
usageExample:n0540.sg01.s99.u03		cadere animum, oculos, uultus, & c	 Cadere animum , oculos , vultus , & c 		i. frangi, debilitari, opprimi.
usageExample:n0540.sg01.s99.u04		uerba meliùs in syllabas longiores cadunt	 Verba meliùs in syllabas longiores cadunt 		i, desinunt
usageExample:n0540.sg01.s99.u05		cadere in alicuius potestatem	 cadere in alicujus potestatem 		i, venire, poni.
usageExample:n0540.sg01.s99.u06		non cadit in quenquam tantùm scelus	 Non cadit in quenquam tantùm scelus 		non potest quisquam committere.
usageExample:n0540.sg01.s99.u07		si cadit in sapientem dolor	 Si cadit in sapientem dolor 		i, si sapientis est dolere.
usageExample:n0540.sg01.s99.u08		dactyli in uersum cadunt maximè	 Dactyli in versum cadunt maximè 		i, conveniunt.
usageExample:n0542.sg01.s99.u01		caedere aliquem calcibus	 Caedere aliquem calcibus 	 pisar aos couces 	
usageExample:n0542.sg01.s99.u02		caedere arbores	 Caedere arbores 	 cortar 	
usageExample:n0542.sg01.s99.u03		caedere pecora	 Caedere pecora 	 matar 	
usageExample:n0542.sg01.s99.u04		caedere uictimas, aut hostias	 Caedere victimas , aut hostias 	 sacrificar 	
usageExample:n0542.sg01.s99.u05		uerberibus, aut uirgis aliquem caedere	 Verberibus , aut virgis aliquem caedere 	 açoutar 	
usageExample:n0542.sg01.s99.u06		saxis ianuam caedere	 Saxis januam caedere 	 quebrar 	
usageExample:n0547.sg01.s99.u01		de coelo detrahere	 De Coelo detrahere 		i, de summo honoris gradu deturbare.
usageExample:n0547.sg01.s99.u02		de coelo seruare	 De Coelo servare 		i, observato Coeli statu auspicia inde sumere.
usageExample:n0547.sg01.s99.u03		digito caelum attingere	 Digito Caelum attingere 		i, longè suprà mortalium conditionem esse.
usageExample:n0547.sg01.s99.u04		in coelum expuis	 In Coelum expuis 		i, facis, quod in tuum ipsius recidat caput.
usageExample:n0547.sg01.s99.u05		in coelum iacularis	 In Coelum jacularis 		i, frustra laboras, vel eos lacessis, quos non potes laedere.
usageExample:n0547.sg01.s99.u06		coelum territat	 Coelum territat 		dicitur in minacem.
usageExample:n0547.sg01.s99.u07		toto coelo errare	 Toto Coelo errare 		i, vehementer errare.
usageExample:n0548.sg01.s99.u01		caepas edere, uel olfacere	 Caepas edere , vel olfacere 		dicuntur, qui lacrymari videntur.
usageExample:n0550.sg01.s99.u01		caerite cerâ	 Caerite cerâ 		i, dignus ignominiâ, & cõtumelia.
usageExample:n0554.sg01.s01.u01		caius caesar	 Caius Caesar 		
usageExample:n0557.sg01.s01.u01		pugna exercitûs calamitosa reipub	 Pugna exercitûs calamitosa Reipub 		
usageExample:n0559.sg01.s99.u01		currenti calcar addere	 Currenti calcar addere 		est vehementiús inflammare eum, qui sponte ad rem aliquam satis incitatus est.
usageExample:n0559.sg01.s99.u02		tolle calcar	 Tolle calcar 		in eum dicitur, qui jam ultionem parat.
usageExample:n0560.sg01.s99.u01		calceare se ocreis, caligis, crepidis	 Calceare se ocreis , caligis , crepidis 	 calçar botas , calçar chinellas , etc 	
usageExample:n0560.sg01.s99.u02		calceare cothurnos	 calceare cothurnos 	 calçar os borseguins 	
usageExample:n0562.sg01.s99.u01		aliquem calefacere	 Aliquem calefacere 	 vexar , ou exasperar 	per translationem
usageExample:n0563.sg01.s99.u01		tertio calendas	 Tertio calendas 		diem certum significare
usageExample:n0563.sg01.s99.u02		ad tertium ueró calendas	 Ad tertium veró calendas 		diem incertum significare
usageExample:n0563.sg01.s99.u03		qui est circiter tertium calendas	 qui est circiter tertium calendas 		
usageExample:n0563.sg01.s99.u04		ad calendas graecas soluturi	 Ad calendas Graecas soluturi 		dicuntur, qui nunquam sunt soluturi.
usageExample:n0566.sg01.s99.u01		multa cadunt inter calicem, supremaque labra	 Multa cadunt inter calicem , supremaque labra 		i, nihil tam certum sperari, vel haberi potest, quod non repentinus aliquis casus queat interventere.
usageExample:n0567.sg01.s01.u01		iudex rerum callidus	 Judex rerum callidus 		
usageExample:n0571.sg01.s99.u01		callum aprugnum	 Callum aprugnum 	 carne mais saborosa do javalî 	
usageExample:n0580.sg01.s99.u01		cum cane simul & lorum	 Cum cane simul & lorum 		i, omnia simul perierunt.
usageExample:n0580.sg01.s99.u02		inuitis canibus uenari	 Invitis canibus venari 		i, non satis feliciter succedit, quod à nolentibus extorquetur.
usageExample:n0580.sg01.s99.u03		canis in praesepi	 Canis in praesepi 	 caõ de palheiro 	in eos dicitur, qui nec fruuntur re quapiam, nec alios sinunt uti.
usageExample:n0583.sg01.s99.u01		canere bellicum, uel classicum	 Canere bellicum , vel classicum 	 tocar á batalha 	
usageExample:n0583.sg01.s99.u02		canere receptui	 Canere receptui 	 a recolher 	
usageExample:n0583.sg01.s99.u03		canere eandem cantilenam	 Canere eandem cantilenam 	 repetir importunamente , o que está dito 	
usageExample:n0583.sg01.s99.u04		intus canere	 Intus canere 		dicitur, qui, quidquid agit, ad domesticam fert utilitatem.
usageExample:n0583.sg01.s99.u05		sibi canere	 Sibi canere 	 fazer alguma cousa só por sua vontade 	
usageExample:n0583.sg01.s99.u06		haud canit paternas cantiones	 Haud canit paternas cantiones 		i, degenerat à paternis moribus.
usageExample:n0583.sg01.s99.u07		fidibus canere	 Fidibus canere 	 tanger viola 	
usageExample:n0584.sg01.s01.u01		templum innumeri populi capax	 Templum innumeri populi capax 		
usageExample:n0584.sg01.s01.u02		puer secreti capax, & honorum	 Puer secreti capax , & honorum 		
usageExample:n0585.sg01.s99.u01		capessere fugam	 Capessere fugam 	 fugir 	
usageExample:n0585.sg01.s99.u02		capessere remp	 Capessere Remp 	 governar , defender 	
usageExample:n0585.sg01.s99.u03		domum se capessere	 Domum se capessere 	 recolher - se para casa 	
usageExample:n0587.sg01.s01.u01		capere oculis	 Capere oculis 		videre
usageExample:n0587.sg01.s01.u02		capere auribus	 Capere auribus 		audire
usageExample:n0587.sg01.s01.u03		capere mente	 Capere mente 		intelligere
usageExample:n0587.sg01.s01.u04		capere dolis	 Capere dolis 		decipere, & c.
usageExample:n0587.sg01.s99.u01		capere rationem	 Capere rationem 		est modum invenire.
usageExample:n0587.sg01.s99.u02		superbum totus orbis non capit	 Superbum totus orbis non capit 	 o soberbo naõ cabe em todo o mundo 	
usageExample:n0587.sg01.s99.u03		cepi dolorem, uel cepit me dolor, & c	 cepi dolorem , vel cepit me dolor , & c 		
usageExample:n0591.sg01.s01.u01		captus mente	 Captus mente 	 doudo , privado do uso da razão 	
usageExample:n0591.sg01.s01.u02		captus oculis	 Captus oculis 	 cego 	
usageExample:n0594.sg01.s99.u01		aeui cardo extremus	 Aevi cardo extremus 		i, exitus.
usageExample:n0599.sg01.s99.u01		carpere uiam	 Carpere viam 		i, ambulare
usageExample:n0599.sg01.s99.u02		carpere faciem	 Carpere faciem 		laniare
usageExample:n0599.sg01.s99.u03		carpere uires	 Carpere vires 		i, minuere
usageExample:n0599.sg01.s99.u04		carpere pensa	 Carpere pensa 	 fiar 	
usageExample:n0599.sg01.s99.u05		carpere lanam	 Carpere Lanam 	 escarpiar ; ou fiar lãa 	
usageExample:n0599.sg01.s99.u06		carpere aliquem maledico dente	 Carpere aliquem maledico dente 	 desfazer na fama de alguem 	
usageExample:n0605.sg10.s99.u01		lumine, uel aethere cassus	 Lumine , vel aethere cassus 		i, privatus vitâ, apud Virg.
usageExample:n0607.sg01.s01.u01		castus à culpa, & cruore ciuili	 Castus à culpa , & cruore civili 		
usageExample:n0609.sg01.s99.u01		tertius cato	 Tertius Cato 		per ironiam in alienae vitae censores dicitur.
usageExample:n0610.sg01.s01.u01		concordiae cauere	 Concordiae cavere 		
usageExample:n0610.sg01.s01.u02		caue tibi ab homine irato	 Cave tibi ab homine irato 	 precatai - vos 	
usageExample:n0610.sg01.s01.u03		periculum, & insidias cauere	 Periculum , & insidias cavere 	 evitar , ou fugir 	
usageExample:n0610.sg01.s01.u04		caue facias	 Cave facias 		pro Cave, ne facias
usageExample:n0610.sg01.s01.u05		caue responderis	 Cave responderis 		pro Cave, ne respondeas.
usageExample:n0610.sg01.s02.u01		tibi multa caui	 Tibi multa cavi 		
usageExample:n0610.sg01.s02.u02		scabie pecori cauere	 scabie pecori cavere 	 assegurar com penhor , ou fiador 	In jure significat securum facere
usageExample:n0617.sg01.s01.u01		negotium mihi ex sententia parùm cessit	 Negotium mihi ex sententia parùm cessit 	 naõ me succedeo , como desejava 	
usageExample:n0618.sg01.s01.u01		cedo reliqua	 Cedo reliqua 	 dizei o mais 	
usageExample:n0618.sg01.s02.u01		cedo aquam manibus	 Cedo aquam manibus 	 dai agoa ás mãos 	
usageExample:n0618.sg01.s99.u01		cedo mihi dextram	 Cedo mihi dextram 		(forma est salutandi.)
usageExample:n0619.sg01.s01.u01		patriâ, loco, urbe cedere	 Patriâ , loco , urbe cedere 		
usageExample:n0619.sg01.s01.u02		cedere ab, uel de oppido, uel ex ciuitate	 Cedere ab , vel de oppido , vel ex civitate 		
usageExample:n0619.sg01.s99.u01		cedere bonis	 Cedere bonis 	 ceder dos bens 	
usageExample:n0619.sg01.s99.u02		tempori, uel oneri cedere	 Tempori , vel oneri cedere 	 accommodar - se ao tempo , render - se á carga 	
usageExample:n0619.sg01.s99.u03		cedere alicui	 Cedere alicui 		i, victum se fateri, vel non repugnare
usageExample:n0619.sg01.s99.u04		romani uiriato, duci lusitano cesserunt	 Romani Viriato , duci Lusitano cesserunt 		
usageExample:n0619.sg01.s99.u05		cedere host uictoriam	 Cedere host victoriam 	 dar vitoria 	
usageExample:n0619.sg01.s99.u06		litem aduersario cedere; uel lite cedere	 Litem adversario cedere ; vel lite cedere 	 ceder na demanda 	
usageExample:n0619.sg01.s99.u07		uitâ, uel è uita, uel fato cedere	 Vitâ , vel è vita , vel fato cedere 	 morrer 	
usageExample:n0619.sg01.s99.u08		hoc cessit in prouerbium	 Hoc cessit in proverbium 		i, proverbio dici coepit.
usageExample:n0627.sg01.s99.u01		centies hs	 Centies HS 		id est, centies sestertium.
usageExample:n0634.sg01.s99.u01		cercopum caetus	 Cercopum caetus 		de conciliabulo, conventuque versutorum, & improborum dicitur.
usageExample:n0635.sg01.s99.u01		cereri sacrificare, uel nuptias facere	 Cereri sacrificare , vel nuptias facere 		dicitur, quando in convivio deest vinum.
usageExample:n0636.sg01.s99.u01		haereditatem cernere, haeredes dicuntur	 Haereditatem cernere , haeredes dicuntur 		i, adire, & visere.
usageExample:n0638.sg01.s01.u01		certus eundi, & c	 Certus eundi , & c 		
usageExample:n0638.sg01.s99.u01		proles certa	 Proles certa 		i, legitima.
usageExample:n0638.sg01.s99.u02		homines certi	 Homines certi 		i, fidissimi nuntij.
usageExample:n0638.sg01.s99.u03		certum est mihi ire	 Certum est mihi ire 	 tenho deliberado ir 	
usageExample:n0638.sg01.s99.u04		hoc certo certius est	 Hoc certo certius est 	 nisto naõ ha duvida alguma 	
usageExample:n0642.sg01.s99.u01		chamaeleonte mutabilior	 Chamaeleonte mutabilior 		de homine versipelli, inconstante, & pro tempore in omnem habitum sese vertente.
usageExample:n0643.sg01.s99.u01		antiquior, quàm chaos	 Antiquior , quàm chaos 		de re nimiùm prisca, & absoleta.
usageExample:n0646.sg01.s99.u01		euitata charybdi, in scyllam incidere	 Evitata Charybdi , in Scyllam incidere 	 fugir a hum mal , e cahir em outro 	
usageExample:n0659.sg01.s99.u01		ciceris, & nucis emptor	 Ciceris , & nucis emptor 		i, infimae fortis homo, & de ima plebe.
usageExample:n0662.sg01.s99.u01		cilix haud facilè uerum dicit	 Cilix haud facilè verum dicit 		de mentiente ob lucrum.
usageExample:n0663.sg01.s99.u01		in procinctu esse	 In procinctu esse 	 estar jâ de caminho 	
usageExample:n0665.sg01.s99.u01		cinerem uitans in prunas incidit	 Cinerem vitans in prunas incidit 	 fugir de hum mal , cahir em outro mayor 	
usageExample:n0667.sg01.s01.u01		circa dimetrium hoc institutum est	 Circa Dimetrium hoc institutum est 		i, circa Dimetrij tempora.
usageExample:n0670.sg01.s99.u01		circumagi momentis alieni animi	 Circumagi momentis alieni animi 		i, pro alieno arbitrio versari.
usageExample:n0671.sg01.s01.u01		genistas alueariis circunseri gratissimum apibus	 Genistas alveariis circunseri gratissimum apibus 		
usageExample:n0673.sg01.s01.u01		urbi moenia circundare, uel urbem moenibus	 Urbi moenia circundare , vel urbem moenibus 		
usageExample:n0676.sg01.s01.u01		luna est omnium stellarum citima terris	 Luna est omnium stellarum citima terris 		
usageExample:n0677.sg01.s01.u01		dicto citiùs	 Dicto citiùs 	 mais depressa , do que o disse 	
usageExample:n0679.sg02.s01.u01		lucet citra solem, luz áquem do sol	 Lucet citra Solem , luz áquem do Sol 		i, si non comparetur cum Sole.
usageExample:n0679.sg02.s02.u01		citra fastidium	 Citra fastidium 	 sem fastio 	
usageExample:n0683.sg01.s02.u01		ciuitate aliquem donare	 Civitate aliquem donare 	 fazer a alguem cidadaõ 	
usageExample:n0686.sg01.s99.u01		claudere transitum, uel uiam alicui	 Claudere transitum , vel viam alicui 	 tomar a passagem , ou impedir 	
usageExample:n0686.sg01.s99.u02		claudere caenam lactuca solebat	 Claudere caenam lactuca solebat 	 a alface comia - se no fim da cea 	
usageExample:n0687.sg01.s99.u01		claue sindere ligna, & securi fores aperire	 Clave sindere ligna , & securi fores aperire 	 fazer as cousas ás avessas 	
usageExample:n0694.sg01.s99.u01		clitellae boui sunt impositae	 Clitellae bovi sunt impositae 	 deo se o officio , a quem naõ era para elle 	
usageExample:n0700.sg01.s01.u01		uerba uerbis coagmentare negligat orator	 Verba verbis coagmentare negligat orator 	 naõ seja nimio em amontoar , e accrescentar palavras a palavras 	
usageExample:n0711.sg01.s01.u01		scholastici coeunt in templum, uel in gymnasium	 Scholastici coeunt in templum , vel in gymnasium 		
usageExample:n0711.sg01.s01.u02		uulnera rotunda difficiliùs coeunt	 Vulnera rotunda difficiliùs coeunt 	 serraõ - se mais difficultosamente 	
usageExample:n0711.sg01.s01.u03		coire societatem cum aliquo	 Coire societatem cum aliquo 	 começar a ter companhia 	
usageExample:n0715.sg01.s99.u01		quas res gesserit, cognoscite	 Quas res gesserit , cognoscite 		i, attentè audire.
usageExample:n0716.sg01.s99.u01		in ordinem aliquem cogere	 In ordinem aliquem cogere 		est cum aliis parem facere.
usageExample:n0717.sg01.s01.u01		extrema primis aptissimè cohaerent, uel cum primis	 Extrema primis aptissimè cohaerent , vel cum primis 		
usageExample:n0720.sg01.s01.u01		turma equitum	 Turma equitum 		
usageExample:n0720.sg01.s02.u01		amicorum, & c	 Amicorum , & c 		
usageExample:n0724.sg01.s99.u01		collidere manus	 Collidere manus 	 bater as mãos 	
usageExample:n0725.sg01.s01.u01		indica myrrha quadam è spina colligitur	 Indica myrrha quadam è spina colligitur 		
usageExample:n0725.sg01.s01.u02		stipem à quaestoribus colligere	 Stipem à quaestoribus colligere 	 arrecadar dinheiro dos almoxarifes 	
usageExample:n0725.sg01.s01.u03		colligere se	 Colligere se 		i, reficere, recreare.
usageExample:n0725.sg01.s01.u04		colligere beneuolentiam	 Colligere benevolentiam 	 ganhar a benevolencia 	
usageExample:n0725.sg01.s99.u01		colligere animos	 Colligere animos 	 tomar animo 	
usageExample:n0728.sg01.s01.u01		pecuniam usuris collocare	 Pecuniam usuris collocare 	 ao ganho 	
usageExample:n0728.sg01.s01.u02		collocare beneficium apud aliquem	 Collocare beneficium apud aliquem 	 fazer boas obras 	
usageExample:n0728.sg01.s01.u03		filiam nuptum, uel nuptui, uel in matrimonium collocare	 Filiam nuptum , vel nuptui , vel in matrimonium collocare 		pro Dare nuptui.
usageExample:n0729.sg01.s01.u01		solis splendor uniuerso orbi collucet	 Solis splendor universo orbi collucet 		
usageExample:n0730.sg01.s99.u01		rerum colluuio	 Rerum colluvio 		i, permistio, confusio.
usageExample:n0731.sg01.s99.u01		colere urbem, domum, & c	 Colere urbem , domum , & c 	 habitar 	
usageExample:n0731.sg01.s99.u02		colere corpus	 Colere corpus 	 ataviar , ornar 	
usageExample:n0731.sg01.s99.u03		oratio culta	 Oratio culta 		i, ornata.
usageExample:n0731.sg01.s99.u04		studia colere	 Studia colere 	 estudar com diligencia 	
usageExample:n0731.sg01.s99.u05		uitam colere	 Vitam colere 	 viver 	
usageExample:n0731.sg01.s99.u06		colere rem militarem	 colere rem militarem 	 exercitar milicia 	
usageExample:n0731.sg01.s99.u07		colere aliquem familiariter	 Colere aliquem familiariter 	 tratar com alguem frequentemente , e com familiaridade 	
usageExample:n0740.sg01.s01.u01		comis praeceptori, uel in, uel erga praeceptorem	 Comis praeceptori , vel in , vel erga praeceptorem 		
usageExample:n0742.sg01.s01.u01		fidei tuae me, meosque commendo	 Fidei tuae me , meosque commendo 		
usageExample:n0742.sg01.s01.u02		nomen tuum immortalitati commendasti	 Nomen tuum immortalitati commendasti 	 fizeste teu nome immortal 	
usageExample:n0744.sg01.s01.u01		uiciniae tuae commigrabo, uel in uiciniam	 Viciniae tuae commigrabo , vel in viciniam 		
usageExample:n0744.sg01.s01.u02		romam commigrare	 Romam commigrare 	 mudar - se para Roma 	
usageExample:n0746.sg01.s99.u01		committo me tuae fidei, uel in tuam fidem	 Committo me tuae fidei , vel in tuam fidem 	 ponho - me em vossas mãos 	
usageExample:n0746.sg01.s99.u02		in praecipitem locum se committere	 In praecipitem locum se committere 	 expor - se a perigo 	
usageExample:n0746.sg01.s99.u03		committere alicui uices suas	 Committere alicui vices suas 	 pôr alguem em seu lugar 	
usageExample:n0746.sg01.s99.u04		committere caput tonsori	 Committere caput tonsori 	 confiar a cabeça , etc 	
usageExample:n0746.sg01.s99.u05		solo semen committere	 Solo semen committere 	 semear 	
usageExample:n0746.sg01.s99.u06		praelium, uel ludos committere	 Praelium , vel ludos committere 		i, incipere.
usageExample:n0746.sg01.s99.u07		aliquem cum aliquo committere	 Aliquem cum aliquo committere 	 meter alguem em peleja , ou bulha com outro 	
usageExample:n0746.sg01.s99.u08		aliquos inter se committere	 aliquos inter se committere 		i, reddere inimicos.
usageExample:n0747.sg01.s01.u01		quibuscunque rebus potero, libentissimè tibi commodabo	 Quibuscunque rebus potero , libentissimè tibi commodabo 		
usageExample:n0747.sg01.s02.u01		librum tibi commodaui	 Librum tibi commodavi 	 vestes 	
usageExample:n0748.sg01.s99.u01		statura commoda	 Statura commoda 		i, mediocris.
usageExample:n0749.sg01.s01.u01		parentum est filios errorum commonefacere	 Parentum est filios errorum commonefacere 		
usageExample:n0750.sg01.s01.u01		officii sui commonui praetorem, uel officium	 Officij sui commonui praetorem , vel officium 		i, de officio.
usageExample:n0751.sg01.s01.u01		morienti amico commori maluit euryalus, quam sine illo superstes esse	 Morienti amico commori maluit Euryalus , quam sine illo superstes esse 		
usageExample:n0752.sg01.s01.u01		communicare alicui, uel cum aliquo sua negotia	 Communicare alicui , vel cum aliquo sua negotia 		
usageExample:n0752.sg01.s01.u02		communicare alicui maximis de rebus	 Communicare alicui maximis de rebus 		
usageExample:n0757.sg01.s01.u01		exercitum, copias, conuiuium comparare	 Exercitum , copias , convivium comparare 		
usageExample:n0757.sg01.s02.u01		dolum, insidias, malum alicui comparare	 Dolum , insidias , malum alicui comparare 		
usageExample:n0757.sg01.s03.u01		nullum oratorem ciceroni comparare ausim, uel cum cicerone, uel ad ciceronem	 Nullum oratorem Ciceroni comparare ausim , vel cum Cicerone , vel ad Ciceronem 		
usageExample:n0757.sg01.s99.u01		frumentum comparare	 Frumentum comparare 	 comprar 	
usageExample:n0758.sg01.s99.u01		compellere aliquem in angustias	 Compellere aliquem in angustias 	 meter em aperto 	
usageExample:n0760.sg01.s01.u01		compertus in furto	 Compertus in furto 	 apanhado com o furto nas mãos 	
usageExample:n0760.sg01.s01.u02		flagitii, uel sacrilegii compertus	 Flagitij , vel sacrilegij compertus 		
usageExample:n0761.sg01.s99.u01		aureae compedes	 Aureae compedes 		i, servitus splendida, & amabilis.
usageExample:n0763.sg01.s02.u01		uix ad arma capienda competebat animus	 Vix ad arma capienda competebat animus 		
usageExample:n0763.sg01.s99.u01		omnia competunt uoto tuo	 Omnia competunt voto tuo 	 concerta , e diz tudo com vosso desejo 	
usageExample:n0764.sg01.s01.u01		templa omnibus ornamentis compilare	 Templa omnibus ornamentis compilare 		
usageExample:n0765.sg01.s01.u01		furem in carcerem compingere	 Furem in carcerem compingere 	 meter na cadea 	
usageExample:n0765.sg01.s02.u01		librum compingere	 Librum compingere 	 encadernar 	
usageExample:n0767.sg01.s99.u01		animo complecti	 Animo complecti 	 considerar 	
usageExample:n0767.sg01.s99.u02		cogitatione complecti	 cogitatione complecti 	 cuidar 	
usageExample:n0767.sg01.s99.u03		amore te complector	 Amore te complector 		i, amo te: quod & sine ablativo dicitur.
usageExample:n0767.sg01.s99.u04		uno maleficio scelera omnia complexa uidentur	 Uno maleficio scelera omnia complexa videntur 		
usageExample:n0768.sg01.s01.u01		complere carcerem hominibus perditis, uel hominum perditorum	 Complere carcerem hominibus perditis , vel hominum perditorum 		
usageExample:n0769.sg01.s01.u01		complicare rudentem, uestem, & c	 Complicare rudentem , vestem , & c 		
usageExample:n0769.sg01.s99.u01		complicare epistolam	 Complicare epistolam 	 fechar a carta 	
usageExample:n0769.sg01.s99.u02		complicare uela	 Complicare vela 	 apanhar as velas 	
usageExample:n0770.sg01.s01.u01		complodere manus, uel pedes	 Complodere manus , vel pedes 	 bater com as mãos , ou com os pés 	
usageExample:n0771.sg01.s01.u01		paruis componere magna solebant	 Parvis componere magna solebant 		i, cum parvis.
usageExample:n0771.sg01.s99.u01		componere urbem	 Componere urbem 	 edificar 	
usageExample:n0771.sg01.s99.u02		componere membra	 Componere membra 	 descançar 	
usageExample:n0771.sg01.s99.u03		ex composito aliquid facere	 Ex composito aliquid facere 		i, ex conventione.
usageExample:n0772.sg01.s01.u01		homo sui compos	 Homo sui compos 	 que esta em si 	
usageExample:n0772.sg01.s01.u02		animi compos	 animi compos 	 que está em seu juizo , e liberdade 	
usageExample:n0772.sg01.s99.u01		factus est uoti compos	 Factus est voti compos 	 alcançou , ou fez , quando quiz 	
usageExample:n0773.sg01.s01.u01		comprimere dentes	 Comprimere dentes 		
usageExample:n0773.sg01.s99.u01		linguam, uel audaciam comprimere	 Linguam , vel audaciam comprimere 	 refrear 	
usageExample:n0773.sg01.s99.u02		comprimere animum	 Comprimere animum 	 tomar socego 	
usageExample:n0774.sg01.s01.u01		coniungo	 Conjungo 		
usageExample:n0774.sg01.s02.u01		contendo	 Contendo 		
usageExample:n0774.sg01.s03.u01		concrepo	 Concrepo 		
usageExample:n0775.sg01.s99.u01		concede hùc	 Concede hùc 	 vinde para aqui 	
usageExample:n0775.sg01.s99.u02		in deditionem, in seruitutem, in sententiam concedere	 In deditionem , in servitutem , in sententiam concedere 	 vir na entrega , etc 	
usageExample:n0775.sg01.s99.u03		uita concedere	 Vita concedere 	 morrer 	
usageExample:n0776.sg01.s99.u01		uenti concidunt	 Venti concidunt 	 amainaõ os ventos 	
usageExample:n0776.sg01.s99.u02		animo concidere	 Animo concidere 	 desmaiar 	
usageExample:n0777.sg01.s01.u01		corpus uspue ad sanum concîdunt chirurgi, ne totum putrescat	 Corpus uspue ad sanum concîdunt chirurgi , ne totum putrescat 		
usageExample:n0777.sg01.s01.u02		nucleum concidere dentibus	 Nucleum concidere dentibus 	 esmiuçar o miolo 	
usageExample:n0778.sg01.s99.u01		concire iras, turbas, lites alicui	 Concire iras , turbas , lites alicui 	 mover , causar iras , desinquietaçoens , demandas a alguem 	
usageExample:n0778.sg01.s99.u02		bilem in nasum concire	 Bilem in nasum concire 	 fazer vir a mostarda ao nariz 	
usageExample:n0779.sg01.s01.u01		gratiam, amicos, odium, inimicitias sibi conciliare	 Gratiam , amicos , odium , inimicitias sibi conciliare 		
usageExample:n0781.sg01.s01.u01		antiqua lex nauae concinit, uel cum noua	 Antiqua lex navae concinit , vel cum nova 		
usageExample:n0782.sg01.s01.u01		flagitium animo concipere, fraudes, & c	 Flagitium animo concipere , fraudes , & c 		
usageExample:n0782.sg01.s01.u02		tormenta bellica concipiunt flammam, uel ignem	 Tormenta bellica concipiunt flammam , vel ignem 	 toma fogo a artelharia 	
usageExample:n0782.sg01.s01.u03		summas concipere	 Summas concipere 	 contar 	
usageExample:n0782.sg01.s01.u04		conceptae mentis intentio	 Conceptae mentis intentio 		i, sententia animo agitata.
usageExample:n0784.sg01.s01.u01		deus animam in corpore conclusit	 Deus animam in corpore conclusit 		
usageExample:n0784.sg01.s01.u02		uersum, uel orationem concludere	 Versum , vel orationem concludere 	 acabar o verso , ou oraçaõ , perorar 	
usageExample:n0785.sg01.s01.u01		chamaeleonis oculi sunt corpori concolores	 Chamaeleonis oculi sunt corpori concolores 		
usageExample:n0786.sg01.s01.u01		concoquere cibum, odium, & c	 Concoquere cibum , odium , & c 		
usageExample:n0786.sg01.s01.u02		senatorem ciuitas concoquere non potest	 Senatorem civitas concoquere non potest 	 naõ pode levar , ou soffrer 	
usageExample:n0788.sg01.s01.u01		uocem citharae concordem modulari	 Vocem citharae concordem modulari 		
usageExample:n0790.sg01.s99.u01		hosti, uel ab hoste spolia detrahere	 Hosti , vel ab hoste spolia detrahere 		
usageExample:n0792.sg01.s01.u01		inducias paenis condixere romani, uel cum paenis	 Inducias Paenis condixere Romani , vel cum Paenis 		
usageExample:n0792.sg01.s02.u01		croesus condixit mihi, & coenauit apud me	 Croesus condixit mihi , & Coenavit apud me 		
usageExample:n0792.sg01.s02.u02		item condicere coenam alicui	 Item Condicere coenam alicui 		
usageExample:n0793.sg01.s01.u01		creditori condorare pecunias	 Creditori condorare pecunias 		
usageExample:n0793.sg01.s01.u02		condonare iniurias, aut supplicium alicui	 Condonare injurias , aut supplicium alicui 	 perdoar 	
usageExample:n0794.sg01.s99.u01		hoc tibi, tuaeque laudi conducit, uel in laudem tuam	 Hoc tibi , tuaeque laudi conducit , vel in laudem tuam 		
usageExample:n0795.sg01.s01.u01		domum ab aliquo conducere	 Domum ab aliquo conducere 		
usageExample:n0795.sg01.s99.u01		qui conducuntur, sedent in foro	 Qui conducuntur , sedent in foro 	 os homens de ganhar , etc 	
usageExample:n0795.sg01.s99.u02		opus conducere faciendum	 Opus conducere faciendum 	 tomar obra de empreitada 	
usageExample:n0796.sg01.s01.u01		cibo se confercire	 Cibo se confercire 		
usageExample:n0797.sg01.s01.u01		nouissima primis conferre, uel cum primis	 Novissima primis conferre , vel cum primis 		
